Story Key,Test ID,Summary,Preconditions,Steps,Expected Result,Priority,Labels
"QA-ST-102","HOT-04","Hotel name search returns matching records","Hotels list is loaded","Enter partial hotel name | Submit search","Only matching hotels are shown","Medium","app-hotels;search"
"QA-ST-102","HOT-05","Invalid date order is prevented","Date controls are available","Set check-out earlier than check-in","Invalid date range is blocked or auto-corrected","High","app-hotels;validation;negative"
"QA-ST-102","HOT-06","Capacity validation blocks too many guests","Room with known capacity is selected","Enter guest count above capacity | Submit","Validation error appears and submit is blocked","High","app-hotels;validation;negative"
"QA-ST-102","HOT-07","Deep-link booking pre-fills form values","Valid booking URL params are prepared","Open booking page using deep-link params","Hotel and date fields are pre-filled correctly","Medium","app-hotels;integration"
"QA-ST-102","HOT-08","Missing required fields blocks booking","Booking page is open","Leave required traveler fields blank | Submit","Booking is not created and errors are shown","High","app-hotels;validation;negative"
"QA-ST-102","HOT-09","Invalid government ID shows validation error","Booking page is open","Enter invalid ID format | Submit","ID validation message is shown and submit blocked","High","app-hotels;validation;negative"
"QA-ST-102","HOT-10","Valid booking submits successfully","Valid test data exists","Fill all required booking fields | Submit","Booking is created and confirmation is shown","High","app-hotels;smoke;regression"
"QA-ST-102","HOT-11","New booking appears in My Bookings","Successful booking exists","Navigate to My Bookings","New booking is visible with correct details","High","app-hotels;regression"
"QA-ST-102","HOT-12","Cancel booking updates status","Active booking exists","Click Cancel on booking | Confirm action","Booking status changes to cancelled","High","app-hotels;regression"
"QA-ST-102","HOT-13","Re-cancel on cancelled booking handled safely","Cancelled booking exists","Attempt cancel again","System handles safely with no duplicate change","Medium","app-hotels;negative"
"QA-ST-102","HOT-14","Profile invalid email or phone blocked","Profile page is open","Enter invalid email or phone | Click Save","Save is blocked with validation errors","Medium","app-hotels;profile;validation"
"QA-ST-102","HOT-15","Valid profile save persists after refresh","Profile page is open","Enter valid profile updates | Save | Refresh page","Updated profile values remain persisted","Medium","app-hotels;profile;regression"
"QA-ST-102","HOT-16","Hotels taste widget loads recommendations","Widget is visible on Hotels page","Select city in taste widget","Recommendations load for selected city","Medium","app-hotels;widget;integration"
"QA-ST-102","HOT-17","Widget restaurant search filters recommendations","Widget recommendations are loaded","Enter restaurant text in widget search","Recommendation list is filtered correctly","Medium","app-hotels;widget;search"
"QA-ST-102","HOT-18","Widget link opens Taste app with context","Widget is visible on Hotels page","Click Open Full Taste Library","Taste app opens on expected route","Medium","app-hotels;widget;cross-app"
"QA-ST-103","TASTE-01","Taste page loads with defaults","Taste app is running","Open Taste home page","Default city and dish cards are visible","High","app-taste;smoke;ui"
"QA-ST-103","TASTE-02","Changing city resets stale restaurant filter","Taste filters are available","Apply restaurant filter | Change city","Incompatible restaurant filter is reset","Medium","app-taste;filter"
"QA-ST-103","TASTE-03","Restaurant search filters dishes correctly","Dish list is loaded","Enter restaurant name and search","Matching dishes are shown","Medium","app-taste;search"
"QA-ST-103","TASTE-04","Dish type filter updates visible dishes","Dish list is loaded","Switch dish type filter","Visible dish list updates by type","Medium","app-taste;filter"
"QA-ST-103","TASTE-05","Anonymous Add to Library redirects to login","User is logged out","Click Add to Library on any dish","User is redirected to login","High","app-taste;auth;cross-app"
"QA-ST-103","TASTE-06","Authenticated Add to Library saves item","User is logged in","Click Add to Library","Item is saved and success state appears","High","app-taste;library;regression"
"QA-ST-103","TASTE-07","Duplicate add handled without corruption","Item already exists in library","Click Add to Library on same item again","No broken state and duplication policy is enforced","Medium","app-taste;library;negative"
"QA-ST-103","TASTE-08","Library groups entries by city","Library has items from multiple cities","Open Library page","Items are grouped under correct city sections","Medium","app-taste;library;ui"
"QA-ST-103","TASTE-09","Remove from Library updates UI and backend","Library has at least one item","Remove item | Refresh page","Item is removed and does not return after refresh","High","app-taste;library;regression"
"QA-ST-103","TASTE-10","Empty state appears when library is empty","Library is empty for test user","Open Library page","Empty state message and action are displayed","Low","app-taste;library;ui"
"QA-ST-103","TASTE-11","Invalid profile fields block save","Taste profile page is open","Enter invalid required or formatted fields | Save","Save is blocked and validation message appears","Medium","app-taste;profile;validation"
"QA-ST-103","TASTE-12","Valid profile save persists","Taste profile page is open","Enter valid updates | Save | Refresh page","Profile updates persist after refresh","Medium","app-taste;profile;regression"
"QA-ST-103","TASTE-13","Taste hotels widget loads city hotels","Hotels widget is visible on Taste page","Select city in hotels widget","Hotel recommendations load for selected city","Medium","app-taste;widget;integration"
"QA-ST-103","TASTE-14","Find Hotels applies filters in widget","Hotels widget has filter controls","Set city and dates and room type | Click Find Hotels","Returned hotel list matches selected filters","High","app-taste;widget;filter"
"QA-ST-103","TASTE-15","Book Now opens Hotels booking with params","Hotels widget has at least one result","Click Book Now on a hotel","Hotels booking page opens with correct prefilled data","High","app-taste;cross-app;integration"
"QA-ST-103","TASTE-16","Backend or network error shows clear message","Ability to simulate API failure exists","Trigger taste API timeout or 5xx","User sees clear error message and app remains stable","High","app-taste;error-handling;negative"
"QA-ST-104","CROSS-01","End-to-end flow works across apps","Valid user and seed data are ready","Login | Save taste item | Navigate to hotels | Create booking | Open My Bookings","Full cross-app journey completes successfully","High","cross-app;e2e;smoke"
"QA-ST-104","CROSS-02","Hotels-initiated login returns to same route","User is logged out on Hotels route","Click Sign In from Hotels | Authenticate","User returns to same Hotels route after login","High","cross-app;auth;regression"
"QA-ST-104","CROSS-03","Taste-initiated login returns to same route","User is logged out on Taste route","Click Sign In from Taste | Authenticate","User returns to same Taste route after login","High","cross-app;auth;regression"
"QA-ST-104","CROSS-04","Browser refresh preserves valid session mid-flow","User is authenticated in active flow","Refresh browser during flow","Session remains valid and flow is recoverable","Medium","cross-app;resilience"
"QA-ST-104","CROSS-05","Session expiry prompts re-login and recovers","Session expiry can be simulated","Expire session | Attempt protected action | Re-login","User is prompted to login and flow recovers safely","High","cross-app;resilience;negative"
"QA-ST-104","CROSS-06","Failed test captures network and console logs","Automation artifact capture is enabled","Run controlled failing test","Failure bundle includes HAR and console log and trace and screenshot and video","High","cross-app;observability;automation"
"QA-ST-104","CROSS-07","Failed test auto-creates Jira bug with evidence","Jira integration credentials are configured","Run controlled failing test in CI","Jira bug is created with artifacts and links","High","cross-app;jira;automation"
"QA-ST-104","CROSS-08","Xray execution links failed tests to defects","Xray import pipeline is configured","Run suite | Import results to Xray","Execution is created with statuses and failed tests linked to defects","High","cross-app;xray;automation"
